Date,Forecasted Sales
1970-01-01 00:00:00.000000045,100580175.70182885
1970-01-02 00:00:00.000000045,104895373.67655927
1970-01-03 00:00:00.000000045,80582887.10749656
1970-01-04 00:00:00.000000045,96741778.74562784
1970-01-05 00:00:00.000000045,87325583.48518875
1970-01-06 00:00:00.000000045,98227707.43277045
1970-01-07 00:00:00.000000045,92271802.13965131
1970-01-08 00:00:00.000000045,95560924.70422493
1970-01-09 00:00:00.000000045,90042280.85588916
1970-01-10 00:00:00.000000045,94760279.07309069
1970-01-11 00:00:00.000000045,92288366.2281121
1970-01-12 00:00:00.000000045,94387201.58856332
1970-01-13 00:00:00.000000045,92509296.22347838
1970-01-14 00:00:00.000000045,93887173.39530924
1970-01-15 00:00:00.000000045,92578422.67525084
1970-01-16 00:00:00.000000045,93691446.19738027
1970-01-17 00:00:00.000000045,92991718.7405648
1970-01-18 00:00:00.000000045,93536691.95979027
1970-01-19 00:00:00.000000045,93013298.63533042
1970-01-20 00:00:00.000000045,93434085.28993241
1970-01-21 00:00:00.000000045,93107114.14880627
1970-01-22 00:00:00.000000045,93371854.0553702
1970-01-23 00:00:00.000000045,93173933.34667003
1970-01-24 00:00:00.000000045,93331173.95784314
1970-01-25 00:00:00.000000045,93191530.74495514
1970-01-26 00:00:00.000000045,93304702.02434829
1970-01-27 00:00:00.000000045,93219643.59780818
1970-01-28 00:00:00.000000045,93287293.46101515
1970-01-29 00:00:00.000000045,93232315.73791137
1970-01-30 00:00:00.000000045,93276770.2223686
